
Swampland items can only be found in Swampland or Kingmaker games that use Swampland bundles. Swampland items come in 5 levels of rarity: Common, Rare, Heroic, Mythic, and Cursed. Items with Cursed rarity can only be obtained from a Crone.
Swampland items may inflict the following status effects on either enemies or the player:
- [Icon acid.png] Acid removes armor equal to acid at the start of the turn
- [Icon poison.png] Poison deals damage equal to the amount of poison at turn start if you have no armor and removes 1 poison stack at the start of the turn
- [Icon regen.png] Regeneration restores health equal to the amount of regeneration at turn end and removes 1 regeneration at the end of the turn
- [Icon riptide.png] Riptide deals 5 damage at the end of the turn and removes 1 riptide at the end of the turn
- [Icon stun.png] Stun skips the attack and removes 1 stun at the end of the turn
- [Icon purity.png] Purity gives 1 attack per stack and restores 3 health when removed
## Contents
- 1 Weapons
- 2 Items
- 2.1 Tomes
- 2.2 Elixirs
- 2.3 Food
- 2.4 Food Combined
## Weapons
The player can only have one weapon. Choosing another weapon will destroy the existing one.
 | Weapon
 | Battle Start: If you have 0 base armor, gain armor equal to current health
 | Swampland [Banner swamp yellow.png]
 | [Blood Rune.png] Blood Rune
 | Heroic [Rarity heroic.png]
 | -
 | Wounded: Re-trigger the last triggered wounded item
 | Swampland
 | [Echo Rune.png] Echo Rune
 | Heroic [Rarity heroic.png]
 | -
 | Wounded: Re-trigger a random battle start item
 | Swampland
 | [Iron Rune.png] Iron Rune
 | Heroic [Rarity heroic.png]
 | -
 | If you have exactly 1 item with exposed, it triggers thrice
 | Swampland
 | [Arcane Cloak.png] Arcane Cloak
 | Mythic [Rarity mythic.png]
 | -
 | Reset countdowns after they trigger
 | Swampland
 | [Grand Crescendo.png] Grand Crescendo
 | Mythic [Rarity mythic.png]
 | -
 | Symphony triggers all your other instruments
 | Swampland
 | [Prime Form.png] Prime Form
 | Mythic [Rarity mythic.png]
 | -
 | Double attack while your health is full
 | Swampland
 | [Primordial Soup.png] Primordial Soup
 | Mythic [Rarity mythic.png]
 | -
 | Acid removes health as well
 | Swampland
 | [Serpent Scalemail.png] Serpent Scalemail
 | Mythic [Rarity mythic.png]
 | [Icon armor.png] 4
 | Whenever you lose armor, give the enemy 2 poison
 | Swampland
 | [Stormtide Anchor.png] Stormtide Anchor
 | Mythic [Rarity mythic.png]
 | -
 | Whenever riptide triggers, stun the enemy for 1 turn
 | Swampland
 | [Belt of Gluttony.png] Belt of Gluttony
 | Cursed [Rarity Cursed 16x.png]
 | [Icon health.png] 15
 | Your health is hidden
 | Swampland
 | [Boots of Sloth.png] Boots of Sloth
 | Cursed [Rarity Cursed 16x.png]
 | [Icon speed.png] 10
 | You lose more time per step
 | Swampland
 | [Chest of Lust.png] Chest of Lust
 | Cursed [Rarity Cursed 16x.png]
 | [Icon armor.png] 8
 | Monsters always hunt you
 | Swampland
 | [Helmet of Envy.png] Helmet of Envy
 | Cursed [Rarity Cursed 16x.png]
 | [Icon attack.png] 3
 | Battle Start: Double the enemy's attack
 | Swampland
## Tomes
Tome items can be obtained from Ancient Tomes.
 | Item
 | Rarity
 | Stats
 | Effect
 | Region
 | [Granite Tome.png] Granite Tome
 | Common [Rarity common.png]
 | -
 | Countdown 4: Gain 6 armor — at Gold:  [Icon armor.png] 12 , at Diamond:  [Icon armor.png] 24
 | Swampland [Banner swamp yellow.png]
 | [Holy Tome.png] Holy Tome
 | Common [Rarity common.png]
 | [Icon attack.png] -1 / -2 / -4
 | Countdown 6: Gain 3 attack — at Gold:  [Icon attack.png] 6 , at Diamond:  [Icon attack.png] 12
 | Swampland [Banner swamp yellow.png]
 | [Liferoot Tome.png] Liferoot Tome
 | Common [Rarity common.png]
 | -
 | Countdown 4: Gain 3 regeneration — at Gold:  [Icon regen.png] 6 , at Diamond:  [Icon regen.png] 12
 | Swampland [Banner swamp yellow.png]
 | [Silverscale Tome.png] Silverscale Tome
 | Common [Rarity common.png]
 | -
 | Countdown 3: Give the enemy 2 riptide — at Gold:  [Icon riptide.png] 4 , at Diamond:  [Icon riptide.png] 8
 | Swampland [Banner swamp yellow.png]
 | [Stormcloud Tome.png] Stormcloud Tome
 | Common [Rarity common.png]
 | -
 | Countdown 4: Stun the enemy for 1 turn — at Gold:  2 turns, at Diamond:  4 turns
 | Swampland [Banner swamp yellow.png]
 | [Caustic Tome.png] Caustic Tome
 | Rare [Rarity rare.png]
 | -
 | Countdown 3: Give the enemy 3 acid. If they don't have any armor, give them 5 poison instead
 | Swampland [Banner swamp yellow.png]
 | [Cookbook.png] Cookbook
 | Rare [Rarity rare.png]
 | -
 | Replace this item with a random cauldron item after you defeat the next boss
 | Swampland [Banner swamp yellow.png]
 | [Flameburst Tome.png] Flameburst Tome
 | Rare [Rarity rare.png]
 | -
 | Countdown 4: Deal 4 damage and reset countdown
 | Swampland [Banner swamp yellow.png]
 | [Purelake Tome.png] Purelake Tome
 | Rare [Rarity rare.png]
 | -
 | Countdown 3: If you have purity, remove 1 purity. Otherwise, gain 1 purity. Reset countdown
 | Swampland [Banner swamp yellow.png]
 | [Sanguine Tome.png] Sanguine Tome
 | Rare [Rarity rare.png]
 | -
 | Countdown 6: Restore health to full
 | Swampland [Banner swamp yellow.png]
 | [Grand Tome.png] Grand Tome
 | Heroic [Rarity heroic.png]
 | -
 | Countdown 10: Retrigger all your other tomes
 | Swampland [Banner swamp yellow.png]
 | [Tome of the Hero.png] Tome of the Hero
 | Heroic [Rarity heroic.png]
 | -
 | Countdown 8: Gain 4 attack, 4 armor and 4 speed
 | Swampland [Banner swamp yellow.png]
 | [Sheet Music.png] Sheet Music
 | Heroic [Rarity heroic.png]
 | -
 | Countdown 6: Trigger Symphony 3 times
 | Swampland [Banner swamp yellow.png]
## Elixirs
Elixir items can be obtained from Potion Maker.
 | Item
 | Rarity
 | Stats
 | Effect
 | Region
 | [Lightspeed Elixir.png] Lightspeed Elixir
 | Common [Rarity common.png]
 | [Icon speed.png] 1
 | Battle Start: Gain max health equal to your speed and then restore health equal to your speed
 | Swampland
 | [Muscle Elixir.png] Muscle Elixir
 | Common [Rarity common.png]
 | -
 | Every 3 strikes: Gain 1 attack, 1 armor and 1 speed — at Gold:  [Icon attack.png][Icon armor.png][Icon speed.png] 2 , at Diamond:  [Icon attack.png][Icon armor.png][Icon speed.png] 4
 | Swampland
 | [Petrifying Elixir.png] Petrifying Elixir
 | Common [Rarity common.png]
 | -
 | Wounded: Gain 10 armor and stun yourself and the enemy for 2 turns — at Gold:  [Icon armor.png] 20 [Icon stun.png] 4, at Diamond:  [Icon armor.png] 40 [Icon stun.png] 8
 | Swampland
 | [Lightning Elixir.png] Lightning Elixir
 | Rare [Rarity rare.png]
 | [Icon attack.png] 3
[Icon speed.png] 4
 | Battle Start: Stun yourself for 2 turns
 | Swampland
 | [Nerve Elixir.png] Nerve Elixir
 | Rare [Rarity rare.png]
 | -
 | The first time the enemy gains poison, stun them for 3 turns
 | Swampland
 | [Purelake Elixir.png] Purelake Elixir
 | Rare [Rarity rare.png]
 | -
 | Battle start: Lose 5 armor and gain 5 purity
 | Swampland
 | [Slime Elixir.png] Slime Elixir
 | Rare [Rarity rare.png]
 | -
 | Wounded: Gain armor equal to max health and gain 5 acid
 | Swampland
 | [Viper Elixir.png] Viper Elixir
 | Rare [Rarity rare.png]
 | -
 | The first time the enemy gains poison, give them 9 additional poison
 | Swampland
## Food
Food items can be combined at a Cauldron to create a single item with both effects. They can also be combined at a Cauldron with a Honeycomb item, which massively increases their effects.
 | Item
 | Rarity
 | Stats
 | Effect
 | Region
 | [Clearspring Watermelon.png] Clearspring Watermelon
 | Common [Rarity common.png]
 | -
 | Battle Start, Exposed & Wounded: Decrease a random status effect by 1 — at Gold:  decrease 2 , at Diamond:  decrease 4
 | Swampland [Banner swamp blue.png]
 | [Sour Lemon.png] Sour Lemon
 | Common [Rarity common.png]
 | [Icon speed.png] 3 / 6 / 12
 | Battle Start: Gain 1 acid — at Gold:  [Icon acid.png] 2 , at Diamond:  [Icon acid.png] 4
 | Swampland [Banner swamp blue.png]
 | [Silverscale Fish.png] Silverscale Fish
 | Common [Rarity common.png]
 | -
 | Exposed: Give the enemy 1 riptide — at Gold:  [Icon riptide.png] 2 , at Diamond:  [Icon riptide.png] 4
 | Swampland [Banner swamp red.png]
 | [Poisonous Mushroom.png] Poisonous Mushroom
 | Rare [Rarity rare.png]
 | [Icon attack.png] 2
 | Turn Start: Gain 1 poison
 | Swampland [Banner swamp blue.png]
 | [Grilling Skewer.png] Grilling Skewer
 | Common [Rarity common.png]
 | [Icon attack.png] 1
 | Battle Start: Gain 1 additional strike
 | Swampland [Banner swamp yellow.png]
## Food Combined
Food items can be combined at a Cauldron to create a single item with both effects. They can also be combined at a Cauldron with a Honeycomb item, which massively increases their effects.
 | Item
 | Ingredient 1
 | Ingredient 2
 | Stats
 | Effect
 | [Melonvine Whip.png] Melonvine Whip
 | [Grilling Skewer.png] Grilling Skewer
 | [Clearspring Watermelon.png] Clearspring Watermelon
 | [Icon attack.png] 3
 | On Hit: Decrease 1 random status effect
 | [Silverscale Swordfish.png] Silverscale Swordfish
 | [Grilling Skewer.png] Grilling Skewer
 | [Silverscale Fish.png] Silverscale Fish
 | [Icon attack.png] 2
 | Battle Start: Gain 1 additional strike. First Turn: Give the enemy 1 riptide on hit
 | [Lemontree Branch.png] Lemontree Branch
 | [Grilling Skewer.png] Grilling Skewer
 | [Sour Lemon.png] Sour Lemon
 | [Icon attack.png] 2
[Icon speed.png] 4
 | On Hit: Spend 2 speed and gain 1 additional strike on your next turn
 | [Deathcap Bow.png] Deathcap Bow
 | [Grilling Skewer.png] Grilling Skewer
 | [Poisonous Mushroom.png] Poisonous Mushroom
 | [Icon attack.png] 3
 | Battle Start: Gain 3 poison. Turn Start: If you have poison. Gain 1 additional strike
 | [Bee Stinger.png] Bee Stinger
 | [Grilling Skewer.png] Grilling Skewer
 | [Honeycomb.png] Honeycomb
 | [Icon attack.png] 3
 | First Turn: Give the enemy 4 poison, 3 Acid, and 2 stun on hit
 | [Underwater Watermelon.png] Underwater Watermelon
 | [Silverscale Fish.png] Silverscale Fish
 | [Clearspring Watermelon.png] Clearspring Watermelon
 | -
 | Battle Start, Exposed & Wounded: Decrease 1 random status effect and give the enemy 1 riptide
 | [Melon Lemonade.png] Melon Lemonade
 | [Clearspring Watermelon.png] Clearspring Watermelon
 | [Sour Lemon.png] Sour Lemon
 | [Icon speed.png] 3
 | Battle Start, Exposed & Wounded: Remove all Acid
 | [Bitter Melon.png] Bitter Melon
 | [Clearspring Watermelon.png] Clearspring Watermelon
 | [Poisonous Mushroom.png] Poisonous Mushroom
 | [Icon attack.png] 3
 | Turn Start: Convert 1 stack of another status effect to 1 poison
 | [Honeydew Melon.png] Honeydew Melon
 | [Clearspring Watermelon.png] Clearspring Watermelon
 | [Honeycomb.png] Honeycomb
 | -
 | Battle Start: Give all your status effects to the enemy
 | [Lemon Shark.png] Lemon Shark
 | [Silverscale Fish.png] Silverscale Fish
 | [Sour Lemon.png] Sour Lemon
 | [Icon speed.png] 3
 | Battle Start: Gain 1 Acid Exposed: Give the enemy riptide equal to your acid
 | [Poisonous Pufferfish.png] Poisonous Pufferfish
 | [Silverscale Fish.png] Silverscale Fish
 | [Poisonous Mushroom.png] Poisonous Mushroom
 | [Icon attack.png] 2
 | Battle Start: Gain 3 poison and give the enemy riptide equal to your poison
 | [Honey Caviar.png] Honey Caviar
 | [Silverscale Fish.png] Silverscale Fish
 | [Honeycomb.png] Honeycomb
 | -
 | Exposed: Give the enemy 10 riptide
 | [Poisonous Lemon.png] Poisonous Lemon
 | [Poisonous Mushroom.png] Poisonous Mushroom
 | [Sour Lemon.png] Sour Lemon
 | [Icon attack.png] 3
[Icon speed.png] 4
 | Battle Start: Gain 1 acid and 5 poison
 | [Lemon Syrup.png] Lemon Syrup
 | [Sour Lemon.png] Sour Lemon
 | [Honeycomb.png] Honeycomb
 | [Icon speed.png] 3
 | Battle Start: Double your speed
 | [Honey-glazed Shroom.png] Honey-glazed Shroom
 | [Honeycomb.png] Honeycomb
 | [Poisonous Mushroom.png] Poisonous Mushroom
 | [Icon attack.png] 4
 | Turn Start: Give the enemy 2 poison
